Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
TM-3,49.46,14.01,15.65,3.75,3.57,6.65,2.09,43.373055,-113.49416,Idaho,1986-014534,11505,"Kuntz, Mel A; Elsheimer, H Neil; Espos, Laureano F; Klock, Paul R",,,,,,,,,
BB-1,54.7,14.9,13.63,2.16,3.92,4.99,2.81,43.42361,-113.5525,Idaho,1986-014534,11548,"Kuntz, Mel A; Elsheimer, H Neil; Espos, Laureano F; Klock, Paul R",,,,,,,,,
82-91b,63.24,16.91,4.25,3.6,4.12,5.9,1.18,41.47283,-122.69122,CALIFORNIA,2002-020902,130049,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
VC-1,44.83,13.96,16.05,5.94,2.8,9.86,1.17,43.33917,-113.44056,Idaho,1986-014534,11526,"Kuntz, Mel A; Elsheimer, H Neil; Espos, Laureano F; Klock, Paul R",,,,,,,,,
DC-3,50.04,13.78,16.28,3.03,3.89,6.41,2.25,43.24222,-113.28028,Idaho,1986-014534,11532,"Kuntz, Mel A; Elsheimer, H Neil; Espos, Laureano F; Klock, Paul R",,,,,,,,,
82-85,61.15,16.9,5.06,3.81,4.38,5.84,1.81,41.361,-122.68935,CALIFORNIA,2002-020902,130034,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
82-95,64.05,16.07,4.68,3.17,3.89,5.06,2.21,41.480667,-122.69135,CALIFORNIA,2002-020902,130035,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
85-3,61.72,16.36,4.95,4.22,4.09,6.62,1.04,41.466,-122.6911,CALIFORNIA,2002-020902,130036,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
MB-439,53.85,18.32,8.31,5.13,3.66,7.98,1.09,48.771,-121.836,washington,2003-046396,75221,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
85-59,60.22,16.35,5.37,4.31,4.58,6.18,1.83,41.35483,-122.68925,CALIFORNIA,2002-020902,130037,"Grove, T L; Parman, S W; Bowring, S A; Price, R C; Baker, M B",,,,,,,,,
