Year,CITATION,SampleNo,UNIQUE_ID,SiO2,Al2O3,Fe2O3.T.,MgO,Na2O,CaO,K2O,TiO2,MnO,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,Type,ROCK TEXTURE,SAMPLE COMMENT
1994, [3645] NAKADA S. (1994),samp. 1220G,,75.3,12.6,1.42,0.24,4.63,0.94,3.41,0.27,0.02,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 1203G,,75.2,12.9,1.46,0.27,4.58,0.98,3.38,0.27,0.02,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 1406G,,74.7,12.9,1.58,0.25,4.8,0.91,3.3,0.27,0.03,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 1204G,,73.2,13.7,1.96,0.41,5.11,1.4,2.97,0.36,0.04,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 682G,,73,13.3,1.36,0.23,3.48,0.96,4.81,0.24,0.02,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 1221G,,72.7,13.4,1.7,0.32,4.65,1.17,3.11,0.33,0.03,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
1994, [3645] NAKADA S. (1994),samp. 1374G,,72.4,13.6,2.05,0.38,5.15,1.27,3.07,0.35,0.04,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 80C-504,,72.17113155,14.79408237,2.353848283,0.539784086,5.347860856,1.68932427,2.74890044,0.399840064,0.049980008,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,DIKE
1986, [4448] BACON C. R. (1986),samp. 158,15515-158,72,14.8,2.377016712,0.58,5.31,1.74,2.83,0.4,0.05,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,,BASAL AIR-FALL PUMICE FROM LLAO ROCK VENT
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 79C-158,,71.98704233,14.79733648,2.366590726,0.579895619,5.329040773,1.739686856,2.837489252,0.399928013,0.049991002,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,RHYODACITE,,PUMICE
