"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
49.46,14.01,15.65,3.75,3.57,6.65,2.09
54.7,14.9,13.63,2.16,3.92,4.99,2.81
63.24,16.91,4.25,3.6,4.12,5.9,1.18
44.83,13.96,16.05,5.94,2.8,9.86,1.17
50.04,13.78,16.28,3.03,3.89,6.41,2.25
61.15,16.9,5.06,3.81,4.38,5.84,1.81
64.05,16.07,4.68,3.17,3.89,5.06,2.21
61.72,16.36,4.95,4.22,4.09,6.62,1.04
53.85,18.32,8.31,5.13,3.66,7.98,1.09
60.22,16.35,5.37,4.31,4.58,6.18,1.83
66.72,16.45,4.01,1.9,4.12,4.2,1.95
61.96,16.5,4.48,4.12,4.13,6.82,0.86
57.8,16.1,5.94,5.29,3.77,8.66,1.3
58.91,16.4,5.77,5.02,3.75,7.92,1.16
60.39,16.75,5.68,4.17,3.7,6.74,1.51
63.07,16.29,4.42,3.6,4.58,6,1.16
63.93,16.55,4.06,3.22,4.27,6.06,1.11
64.27,16.83,3.84,3.32,4.04,5.99,1
63.57,16.93,4.14,3.3,4.02,6.04,1.17
60.28,16.17,4.93,4.92,3.75,6.81,1.82
63.35,16.64,4.27,3.53,4.14,6.05,1.15
62.13,16.9,4.84,3.48,4.59,5.98,1.23
62.65,17.19,4.85,2.83,4.75,5.59,1.26
48.39,16.92,11.4,7.57,3.12,9.62,0.86
63.88,16.16,4.56,3.11,4.6,5.32,1.57
62.59,16.4,4.99,3.53,4.33,5.9,1.41
57.57,17.22,6.55,5.27,3.58,7.36,1.26
62.37,17.08,4.62,3.49,4.17,6.07,1.25
51.62,15.58,8.42,10.6,2.64,9.94,0.38
53.52,16.7,7.87,8.3,2.91,9.31,0.45
51.03,15.57,8.2,10.67,2.74,9.96,0.76
51.27,16.99,8.61,8.41,3.02,10.3,0.22
52.1,15.94,7.77,9.4,3.02,9.82,0.86
52.45,15.28,7.84,10.16,3.01,9.6,0.58
61.51,17.91,4.92,3.18,3.92,6.5,1.04
51.44,15.92,8.74,10.7,2.22,9.7,0.41
57.5,14.58,6.28,8.82,3.16,8.08,0.72
49.41,17.04,9.63,9.65,2.12,10.67,0.3
48.54,17.28,10.15,9.18,2.55,10.76,0.21
47.35,16.8,11.53,6.03,4.45,8.3,2.17
59.22,17.8,6.2,3.43,4.05,6.49,1.56
57.72,18.67,6.24,3.7,3.87,7.51,1.06
56.54,19.1,6.99,3.33,3.92,7.64,1.22
46.04,14.07,17.2,4.3,3.03,7.62,1.56
60.04,17.47,3.66,5.33,3.03,7.53,1.67
46.59,15.83,10.88,8.31,4.06,9.4,1.78
