Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
G8,60.77,17.01,5.2,1.33,0.55,0.16,5.22,0.65,0.03,0.1,6.72,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G7.,59.15,16.5,6.65,1.6,0.1,0.79,5.16,0.65,0.03,0.1,7.82,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G9.,60.01,17.01,6.04,1.3,0.1,0.3,5.11,0.67,0.01,0.1,7.08,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
20454,65.92,13.48,5.78,1.43,1.71,0.19,3.4,0.81,0.02,0.14,7.82,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
GUAL1,64.4,13.88,5.14,1.82,1.18,0.82,3.37,0.73,0.05,0.15,7.55,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G12,70.7,13.02,0.49,0.83,1.21,0.4,3.2,0.48,0.03,0.06,7.13,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G10,71.37,12.34,1.49,0.8,1.78,0.23,3.11,0.49,0.25,0.06,6.95,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G13,70.67,12.41,2.28,0.8,1.18,0.11,2.95,0.51,0.03,0.08,6.8,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
G11,73.4,12.6,2.2,0.7,1.6,0.06,2.76,0.45,0.03,0.1,4.14,Gualcamayo Fm,Ordovician,Abre et al 2012,467,Abre et al 2012,,,N,N
SOM5,56.54,21.01,5.92,1.81,1.43,0.19,4.51,0.66,0.01,0.1,5.86,Los Sombreros Fm,Ordovician,Abre et al 2012,465,Abre et al 2012,,,N,N
